time,https,http,sum-https,sum-http
1,14507,20457,14507,20457
2,14651,15836,29158,36293
3,13258,17688,42416,53981
4,12258,20946,54674,74927
5,13369,15544,68043,90471
6,15242,15909,83285,106380
7,12728,15530,96013,121910
8,12982,15413,108995,137323
9,14800,17526,123795,154849
10,15743,13508,139538,168357
11,13713,16105,153251,184462
12,12063,15102,165314,199564
13,12107,16627,177421,216191
14,13199,14740,190620,230931
15,15708,15381,206328,246312
16,13826,17375,220154,263687
17,12427,16951,232581,280638
18,13366,20795,245947,301433
19,12129,17162,258076,318595
20,11774,18654,269850,337249
21,15120,20644,284970,357893
22,14779,14652,299749,372545
23,12211,18773,311960,391318
24,12575,17644,324535,408962
25,11496,21620,336031,430582
26,11724,17925,347755,448507
27,14018,17816,361773,466323
28,13706,19537,375479,485860
29,11951,20814,387430,506674
30,13097,18811,400527,525485
31,15001,18185,415528,543670
32,15012,17220,430540,560890
33,14078,15231,444618,576121
34,12844,16232,457462,592353
35,12474,17398,469936,609751
36,12351,16812,482287,626563
37,12839,16415,495126,642978
38,11981,20258,507107,663236
39,16052,16848,523159,680084
40,16750,17784,539909,697868
41,11632,21971,551541,719839
42,17112,18302,568653,738141
43,12060,17194,580713,755335
44,14160,16774,594873,772109
45,15730,17935,610603,790044
46,15915,16904,626518,806948
47,11810,17355,638328,824303
48,15389,20991,653717,845294
49,12130,17597,665847,862891
50,13957,18736,679804,881627
51,15730,16342,695534,897969
52,15707,16807,711241,914776
53,15044,18102,726285,932878
54,12109,15704,738394,948582
55,13787,18114,752181,966696
56,12193,17655,764374,984351
57,11688,18443,776062,1002794
58,12995,17509,789057,1020303
59,15211,20087,804268,1040390
60,13181,18657,817449,1059047
